Year,Month,Day,PPT. ,Av temp,Tmax,Tmin,Date
2020,1,1,0.0,4.144583333333333,6.98,-1.36,2020-01-01
2020,1,2,0.8,7.910833333333333,10.86,2.22,2020-01-02
2020,1,3,0.0,6.369166666666666,7.74,3.48,2020-01-03
2020,1,4,0.0,7.7299999999999995,9.95,3.76,2020-01-04
2020,1,5,0.0,8.732500000000002,9.97,6.56,2020-01-05
2020,1,6,0.0,7.810416666666668,9.42,7.51,2020-01-06
2020,1,7,0.0,10.015833333333335,13.7,4.06,2020-01-07
2020,1,8,14.0,7.209166666666667,8.52,6.96,2020-01-08
2020,1,9,1.4,4.2108333333333325,5.45,2.9,2020-01-09
2020,1,10,0.0,3.8525000000000005,11.13,-0.01,2020-01-10
2020,1,11,0.8,9.90875,12.83,0.67,2020-01-11
2020,1,12,0.0,5.3325,8.58,3.99,2020-01-12
2020,1,13,5.0,4.930833333333333,7.01,2.6,2020-01-13
2020,1,14,6.4,4.919583333333333,5.76,2.66,2020-01-14
2020,1,15,0.0,6.1225,7.96,2.89,2020-01-15
2020,1,16,2.4,6.858333333333333,9.94,4.02,2020-01-16
2020,1,17,0.6,5.226249999999999,5.69,4.56,2020-01-17
2020,1,18,0.0,3.857083333333334,7.42,2.19,2020-01-18
2020,1,19,0.0,3.3920833333333333,8.34,-0.55,2020-01-19
2020,1,20,0.0,4.515833333333334,11.35,0.81,2020-01-20
2020,1,21,0.0,6.382916666666666,10.89,1.58,2020-01-21
2020,1,22,0.2,8.122916666666665,14.0,2.98,2020-01-22
2020,1,23,0.0,5.816666666666667,9.89,2.37,2020-01-23
2020,1,24,0.0,6.402916666666665,11.16,2.93,2020-01-24
2020,1,25,0.0,6.2370833333333335,7.92,4.26,2020-01-25
2020,1,26,1.2,5.560833333333332,8.02,4.98,2020-01-26
2020,1,27,0.0,4.1120833333333335,7.34,2.42,2020-01-27
2020,1,28,0.0,3.995000000000001,6.43,1.75,2020-01-28
2020,1,29,0.0,6.187083333333334,9.35,2.82,2020-01-29
2020,1,30,0.2,8.814166666666667,11.28,4.13,2020-01-30
2020,1,31,0.0,9.807391304347828,11.74,6.14,2020-01-31
2020,2,1,0.4,7.942499999999999,9.06,7.42,2020-02-01
2020,2,2,0.4,6.316666666666667,9.22,3.74,2020-02-02
2020,2,3,0.4,6.302500000000001,7.98,4.31,2020-02-03
2020,2,4,0.0,5.273333333333333,10.58,2.67,2020-02-04
2020,2,5,0.0,3.6112499999999996,7.12,-0.73,2020-02-05
2020,2,6,0.2,3.138333333333333,8.76,-1.32,2020-02-06
2020,2,7,0.0,2.8562500000000006,8.45,0.6,2020-02-07
2020,2,8,14.6,7.024166666666665,10.29,0.75,2020-02-08
2020,2,9,6.2,8.396666666666665,11.23,4.61,2020-02-09
2020,2,10,2.2,4.4070833333333335,6.31,2.85,2020-02-10
2020,2,11,0.4,3.6050000000000004,5.38,2.03,2020-02-11
2020,2,12,5.6,3.436666666666667,6.55,1.01,2020-02-12
2020,2,13,2.0,3.247083333333334,5.01,0.07,2020-02-13
2020,2,14,0.2,5.554166666666666,9.35,1.79,2020-02-14
2020,2,15,22.0,7.798749999999999,11.28,3.26,2020-02-15
2020,2,16,2.2,6.512500000000002,8.3,5.33,2020-02-16
2020,2,17,0.4,6.208333333333332,9.65,3.99,2020-02-17
2020,2,18,0.8,4.668333333333334,7.76,3.11,2020-02-18
2020,2,19,0.0,5.451666666666667,10.0,2.72,2020-02-19
2020,2,20,1.2,6.627499999999999,9.55,3.71,2020-02-20
2020,2,21,5.2,7.99125,10.04,2.78,2020-02-21
2020,2,22,5.2,6.175416666666667,7.47,5.38,2020-02-22
